run_id,source,model_name,augmentation_profile,embed_dim,windowing_name,index_name,index_kind,regime_name,condition_name,query_length_seconds,top1,top5,top10,mrr,query_group_count
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,pitch,2.0,0.6625,0.87625,0.91,0.7645136634199133,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,pitch,3.0,0.7525,0.93,0.9425,0.8357347132034632,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,time,1.0,0.775,0.8925,0.90875,0.8358450577200577,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,time,2.0,0.94625,0.98,0.9825,0.9640507305194805,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,time,3.0,0.96375,0.9875,0.9875,0.9762405303030303,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,clean,1.0,0.58125,0.75625,0.79875,0.6707810696248196,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,clean,2.0,0.70375,0.8225,0.87375,0.7707679473304472,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,clean,3.0,0.73125,0.875,0.89625,0.7993489808802309,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,highpass,1.0,0.01125,0.03125,0.04875,0.10746487193362193,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,highpass,2.0,0.01375,0.03,0.05125,0.10831200396825398,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,highpass,3.0,0.015,0.04,0.0525,0.11172465728715729,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,lowpass,1.0,0.35625,0.5625,0.64125,0.47528923160173164,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,lowpass,2.0,0.4,0.61125,0.665,0.5193106962481963,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,lowpass,3.0,0.3875,0.59625,0.67125,0.507078823953824,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,noise,1.0,0.3775,0.585,0.685,0.4985525342712843,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,noise,2.0,0.525,0.715,0.76,0.629462527056277,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,noise,3.0,0.55875,0.7425,0.7875,0.655056773088023,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,pitch,1.0,0.32625,0.5775,0.65375,0.4641116973304473,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,pitch,2.0,0.425,0.66875,0.73875,0.5545054563492063,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,pitch,3.0,0.4625,0.7225,0.79125,0.5900958243145743,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,time,1.0,0.5,0.70875,0.75,0.6070705266955266,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,time,2.0,0.63,0.7875,0.855,0.7134586038961038,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_offcenter,time,3.0,0.675,0.83625,0.8625,0.7532559523809524,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,clean_current,clean,3.0,0.99625,1.0,1.0,0.998125,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,clean_current,highpass,3.0,0.03125,0.05625,0.07375,0.12571645021645023,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,clean_current,lowpass,3.0,0.68125,0.82875,0.86625,0.7549755591630591,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,clean_current,noise,3.0,0.90625,0.97625,0.98375,0.9389385822510823,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,clean_current,pitch,3.0,0.785,0.96625,0.97875,0.8653112824675324,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,clean_current,time,3.0,0.97125,0.99625,0.9975,0.9836647727272727,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,combined_moderate,combined_moderate,1.0,0.1675,0.29375,0.35875,0.2800137085137085,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe8,ivfflat,combined_moderate,combined_moderate,2.0,0.225,0.32625,0.37625,0.3263201208513708,800
